,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
0,Basement,"$1,400",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,1,850,"['Cable / TV', 'Internet']",[' 1'],[' 2']
1,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
2,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
3,Condo,"$2,100",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,"1,394","['Cable / TV', 'Internet']",[' 2.5'],[' 2']
4,Townhouse,"$2,499",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,420",['Not Included'],[' 2.5'],[' 3']
5,Apartment,"$1,215",No,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,709,['Not Included'],[' 1'],[' 1']
6,Apartment,"$1,400",Not Included,Not Included,Not Included,Outdoors only,Not Included,No,['Not Included'],No,No,1,Not Available,['Not Included'],[' 2.5'],[' 3']
7,Apartment,"$1,350",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
8,Apartment,"$1,405",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
9,Basement,$750,Not Included,Not Included,Not Included,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,Not Available,['Not Included'],[' 1'],[' 1']
10,Basement,"$1,295",Yes,Yes,Yes,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,Not Available,['Not Included'],[' 1'],[' 1']
11,Condo,$800,Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,966,['Not Included'],[' 1.5'],[' 2']
12,Basement,$625,Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,480,['Internet'],[' 1'],[' 1']
13,Basement,$800,No,Yes,No,No,Balcony,No,['Laundry (In Building)'],No,No,1,150,['Not Included'],[' 1'],[' Bachelor/Studio']
14,Condo,"$1,650",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,584,['Not Included'],[' 1'],[' 1 + Den']
15,Apartment,"$2,400",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,900,['Not Included'],[' 2'],[' 2']
16,Basement,"$1,700",No,Yes,No,No,Yard,No,['Laundry (In Unit)'],No,Limited,1,800,['Not Included'],[' 1'],[' 2']
17,Condo,"$2,650",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,750,['Not Included'],[' 1'],[' 1 + Den']
18,House,"$1,850",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,0,"1,000",['Internet'],[' 2'],[' 2']
19,Condo,"$2,031",No,Yes,Yes,Yes,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,723,['Internet'],[' 1.5'],[' 2']
20,Apartment,"$2,092",Yes,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,708,['Cable / TV'],[' 1'],[' 1']
21,Apartment,"$2,089",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,705,['Internet'],[' 1'],[' 1']
22,Condo,"$2,068",No,Yes,Yes,Yes,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,725,['Internet'],[' 1.5'],[' 1 + Den']
23,Apartment,"$2,082",No,Yes,Yes,Yes,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,703,['Cable / TV'],[' 1'],[' 1']
24,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
25,Apartment,"$1,527",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,358,['Not Included'],[' 1'],[' Bachelor/Studio']
26,House,Please Contact,No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,950,"['Cable / TV', 'Internet']",[' 1'],[' 2']
27,Condo,"$2,084",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,720,['Cable / TV'],[' 1.5'],[' 2']
28,Apartment,"$2,043",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,701,['Cable / TV'],[' 1'],[' 1']
29,Basement,"$1,800",Yes,Yes,Yes,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,1,"1,000",['Internet'],[' 1'],[' 3']
30,House,"$2,600",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"1,424",['Not Included'],[' 2'],[' 3']
31,House,"$2,100",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,3+,"1,400",['Not Included'],[' 2'],[' 3']
32,Condo,"$2,011",Yes,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,719,['Cable / TV'],[' 1.5'],[' 2']
